cluster_id,deployable_rows,known_or_new_vs_134,source_lanes,source_generators,median_turnover,p90_turnover,median_long_sortino,representative_candidate_id,representative_expression
cluster_001,2,known,ast_failure_aware_repair:2,ast_failure_aware_repair:2,0.358245,0.358245,0.98796,phase3repair-failure_detail-operator_sanitize-847125cd4743,"CSRank(Sub(Mean($amount,8),Mean($amount,5)))"
cluster_002,1,known,formula_gen_v2_repair_expansion:1,formula_gen_v2_repair_expansion:1,0.685109,0.685109,0.58004,fgv2-repair-nonlinearize-a18bdf8487,"CSRank(Mul(Sign(ZScore(Neg(CSRank(CSResidual(CSRank(Delta($amount,8)),CSRank(Delta($close,8))))))),Mul(ZScore(Neg(CSRank(CSResidual(CSRank(Delta($amount,8)),CSRank(Delta($close,8)))))),ZScore(Neg(CSRank(CSResidual(CSRank(Delta($amount,8)),CSRank(Delta($close,8)))))))))"
cluster_004,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.342091,0.342091,1.469839,agnostic-freeform-806d5235bba6,"CSRank(Sub(CSRank(Mom($vwap,34)),ZScore(Std($volume,3))))"
cluster_005,1,known,r0_cem_led:1,cem_adaptive_grammar:1,0.140328,0.140328,1.435474,stockpit-cem_adaptive_grammar-82605138752a,"CSRank(Mul(ZScore(Mean(Abs($close),5)),ZScore(Mean(Abs($amount),2))))"
cluster_006,6,known,r0_cem_led:4;ast_failure_aware_repair:1;agnostic_freeform_ast:1,cem_adaptive_grammar:3;ast_failure_aware_repair:1;simple_template:1;agnostic_freeform_ast:1,0.037872,0.072929,1.337592,stockpit-template-3640ff7d560d,CSRank($close)
cluster_007,1,known,ast_failure_aware_repair:1,ast_failure_aware_repair:1,0.338438,0.338438,1.101334,phase3repair-failure_detail-operator_sanitize-7cbb5b8cd0da,"CSRank(Sub(Mean($close,6),Mean($close,3)))"
cluster_010,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.135047,0.135047,1.207877,agnostic-freeform-5cbac8b049a2,"CSRank(CSResidual(ZScore($vwap),CSRank($amount)))"
cluster_012,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.11932,0.11932,1.335733,agnostic-freeform-b07f1efece06,"CSRank(Mul(ZScore(Mean($vwap,8)),Mul(ZScore(Delta($high,34)),CSRank(Mean($high,21)))))"
cluster_013,1,known,ast_failure_aware_repair:1,ast_failure_aware_repair:1,0.432956,0.432956,0.86368,phase3repair-failure_detail-operator_sanitize-b2b84bc3ef72,"CSRank(Sub(Mean($amount,6),Mean($amount,3)))"
cluster_014,1,known,formula_gen_v2_repair_expansion:1,formula_gen_v2_repair_expansion:1,0.126863,0.126863,1.47509,fgv2-repair-add_state_gate-c422faf027,"CSRank(Mul(CSRank(Mul(ZScore($amount),ZScore($final_float_market_cap))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_015,1,new,formula_gen_v2_repair_expansion:1,formula_gen_v2_repair_expansion:1,0.356734,0.356734,1.432854,fgv2-repair-add_state_gate-8c5791d8cd,"CSRank(Mul(CSRank(Mul(ZScore(Delta($close,5)),ZScore(Delta($close,5)))),ZScore(Mean(Abs(Delta($close,1)),20))))"
cluster_016,1,known,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.055577,0.055577,1.15418,agnostic-freeform-2853176b2b50,"CSRank(Mul(CSRank(Std($final_float_market_cap,34)),Mul(ZScore(Std($high,21)),Sign(Mean($open,5)))))"
cluster_018,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.232384,0.232384,1.108181,agnostic-freeform-3012000864f6,"CSRank(Add(ZScore(Mean($vwap,34)),CSRank(Delta($volume,8))))"
cluster_019,1,new,agnostic_freeform_ast:1,agnostic_freeform_ast:1,0.625144,0.625144,0.593372,agnostic-freeform-1ee07626df7e,"CSRank(CSResidual(Sign(Delta($low,21)),ZScore(Delta($low,2))))"
