arm,candidate_id,expr_hash,source_lane,source_generator,source_profile,selector_name,selector_version,base_e3_score,base_quality,turnover_proxy,turnover_structure_risk,cost_adjusted_proxy,liquidity_proxy,liquidity_proxy_source,capacity_proxy,capacity_proxy_source,factor_exposure_proxy,sector_concentration_proxy,complexity_score,operator_pathology_flag,max_corr_to_103_registry,mean_corr_to_103_registry,nearest_103_cluster,max_corr_to_134_registry,mean_corr_to_134_registry,nearest_134_cluster_id,novelty_vs_134,max_corr_to_selected_queue,max_corr_to_selected_queue_before_pick,mean_corr_to_selected_queue,mean_corr_to_selected_queue_before_pick,provisional_cluster_id,known_cluster_id,known_cluster_count_before_pick,provisional_cluster_count_before_pick,source_lane_cluster_count_before_pick,known_cluster_count_penalty,provisional_cluster_count_penalty,source_lane_cluster_count_penalty,anti_concentration_penalty,cluster_001_penalty,signal_vector_id,signal_vector_source,signal_vector_error,signal_vector_ready,nearest_134_signal_cluster_id,max_corr_to_134_signal_vector,mean_topk_corr_to_134_signal_vector,novelty_vs_134_signal_vector,known_signal_cluster_id,provisional_signal_cluster_id,source_lane_signal_cluster_id,signal_vector_cluster_basis,max_corr_to_selected_queue_signal,max_corr_to_selected_queue_signal_before_pick,mean_corr_to_selected_queue_signal,mean_corr_to_selected_queue_signal_before_pick,nearest_selected_signal_cluster_id,nearest_selected_signal_vector_id,known_signal_cluster_count_before_pick,provisional_signal_cluster_count_before_pick,source_lane_signal_cluster_count_before_pick,vector_diversity_penalty,known_signal_cluster_penalty,provisional_signal_cluster_penalty,source_lane_signal_cluster_penalty,cluster_001_signal_penalty,cluster_003_signal_penalty,cap_relaxed_for_backfill,selector_mode,turnover_penalty,turnover_structure_penalty,selector_pool_turnover_p80,selector_pool_turnover_p90,selector_pool_turnover_p95,high_turnover_p80_count_before_pick,high_turnover_p90_count_before_pick,turnover_tail_penalty,liquidity_penalty,capacity_penalty,registry_symbolic_corr_penalty,complexity_penalty,hard_gate_pass,hard_reject_reason,cap_reject_reason,feature_missing,gate_not_applied,selection_score,selection_score_final,rank_before_selection,selection_rank,selected_for_audit,selection_reason,uses_forbidden_replay_labels,book_marginal_mode,residual_ir_proxy,book_marginal_score,projection_topk_clusters,expression
Phase3AA_G2_event_source_priority,phase3aa_event_0049_cn_zls_v1_zls_hot_rank_x_capacity_00049,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.2225,0.0,,0.0,,0.0,,0.0,,,,7.25,False,0.2,0.2,cluster_025,0.2,0.2,cluster_025,0.8,0.325,0.325,0.325,0.325,prov_166bf964,,,,,,,,,,33626d814c197d13900b,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_33626d814c19,event_derived_feature_layer|sigprov_33626d814c19,self_vector,0.410948,0.410948,0.143666,0.143666,,d0d050e0b291719eec79,0,0,0,0.410948,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.2,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.2645994,0.2645994,,,False,backfill_candidate,False,signal_vector_proxy,,0.2645994,,"CSRank(Mul(ZScore(Neg($ctx_zls_rank_lag1)),ZScore($ctx_zls_circulation_value_lag1)))"
Phase3AA_G2_event_source_priority,phase3aa_event_0048_cn_zls_v1_zls_hot_rank_inverse_00048,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.2649998,0.0,,0.0,,0.0,,0.0,,,,3.05,False,0.166667,0.141667,cluster_079,0.166667,0.141667,cluster_079,0.833333,0.283333,0.283333,0.175,0.175,prov_738a87f1,,,,,,,,,,d0d050e0b291719eec79,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_d0d050e0b291,event_derived_feature_layer|sigprov_d0d050e0b291,self_vector,0.035941,0.035941,0.027794,0.027794,,323c3dec2d736430ba1b,0,0,0,0.035941,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,6,4,0.0,1.0,1.0,0.166667,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.66335585,0.66335585,21,21,True,selected_D3_primary,False,signal_vector_proxy,,0.66335585,,CSRank(Neg($ctx_zls_rank_lag1))
Phase3AA_G2_event_source_priority,phase3aa_event_0047_cn_zls_v1_zls_hot_rank_direct_00047,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.1250003,0.0,,0.0,,0.0,,0.0,,,,1.9,False,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,1.0,1.0,0.65,0.65,prov_d7938008,,,,,,,,,,7d1024ddb31ce543e4b9,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_7d1024ddb31c,event_derived_feature_layer|sigprov_7d1024ddb31c,self_vector,0.125372,0.125372,0.063918,0.063918,,d0d050e0b291719eec79,0,0,0,0.125372,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,7,5,0.0,1.0,1.0,0.083333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.4383969,0.4383969,45,45,True,selected_D3_primary,False,signal_vector_proxy,,0.4383969,,CSRank($ctx_zls_last_pct_lag1)
Phase3AA_G2_event_source_priority,phase3aa_event_0046_cn_zls_v1_zls_hot_rank_direct_00046,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.1250003,0.0,,0.0,,0.0,,0.0,,,,1.9,False,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,1.0,1.0,0.88,0.88,prov_d7938008,,,,,,,,,,ce3a5117b7fc49162a34,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_ce3a5117b7fc,event_derived_feature_layer|sigprov_ce3a5117b7fc,self_vector,0.693581,0.693581,0.276555,0.276555,,7d1024ddb31ce543e4b9,0,0,0,0.693581,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.083333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-0.10140165,-0.10140165,,,False,backfill_candidate,False,signal_vector_proxy,,-0.10140165,,CSRank($ctx_zls_circulation_value_lag1)
Phase3AA_G2_event_source_priority,phase3aa_event_0045_cn_zls_v1_zls_hot_rank_direct_00045,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.1250003,0.0,,0.0,,0.0,,0.0,,,,1.9,False,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,1.0,1.0,0.88,0.88,prov_d7938008,,,,,,,,,,4067364f4cd56713c3f1,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_4067364f4cd5,event_derived_feature_layer|sigprov_4067364f4cd5,self_vector,0.604615,0.604615,0.203524,0.203524,,7d1024ddb31ce543e4b9,0,0,0,0.604615,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.083333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-0.01688395,-0.01688395,,,False,backfill_candidate,False,signal_vector_proxy,,-0.01688395,,CSRank($ctx_zls_rank_diff_lag1)
Phase3AA_G2_event_source_priority,phase3aa_event_0044_cn_zls_v1_zls_hot_rank_direct_00044,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.1250003,0.0,,0.0,,0.0,,0.0,,,,1.9,False,0.083333,0.083333,cluster_148,0.083333,0.083333,cluster_148,0.916667,1.0,1.0,0.88,0.88,prov_d7938008,,,,,,,,,,addb167c4ef39c04529c,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_d0d050e0b291,event_derived_feature_layer|sigprov_d0d050e0b291,selected_queue,0.999851,0.999851,0.245087,0.245087,sigprov_d0d050e0b291,d0d050e0b291719eec79,0,1,1,0.999851,0.0,1.0,1.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.083333,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-1.29235815,-1.29235815,,,False,backfill_candidate,False,signal_vector_proxy,,-1.29235815,,CSRank($ctx_zls_rank_lag1)
Phase3AA_G2_event_source_priority,phase3aa_event_0043_cn_zls_v1_zls_market_up_down_ratio_00043,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.1335713,0.0,,0.0,,0.0,,0.0,,,,6.1,False,0.107143,0.089048,cluster_076,0.107143,0.089048,cluster_076,0.892857,0.9,0.9,0.75,0.75,prov_008225f9,,,,,,,,,,f01d8f45c73dc36c7861,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_dec25c53b8d3,event_derived_feature_layer|sigprov_dec25c53b8d3,selected_queue,1.0,1.0,0.226653,0.226653,sigprov_dec25c53b8d3,dec25c53b8d32b0b2158,0,1,1,1.0,0.0,1.0,1.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.107143,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-1.2839287,-1.2839287,,,False,backfill_candidate,False,signal_vector_proxy,,-1.2839287,,"CSRank(Div($ctx_zls_up_num_lag1,Add(Abs($ctx_zls_down_num_lag1),0.000001)))"
Phase3AA_G2_event_source_priority,phase3aa_event_0042_cn_zls_v1_zls_lb_height_x_open_board_00042,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.46,0.0,,0.0,,0.0,,0.0,,,,6.1,False,0.8,0.335,cluster_033,0.8,0.335,cluster_033,0.2,0.8,0.8,0.453333,0.453333,prov_8c6dfe7c,,,,,,,,,,d4be06a00e8b24892d4f,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_d4be06a00e8b,event_derived_feature_layer|sigprov_d4be06a00e8b,self_vector,0.0,0.0,0.0,0.0,,f0f0f84e588cca07e33c,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.8,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-0.0275,-0.0275,,,False,backfill_candidate,False,signal_vector_proxy,,-0.0275,,"CSRank(Mul(ZScore($ctx_zls_lb_h_num_lag1),ZScore($ctx_zls_zb_num_lag1)))"
Phase3AA_G2_event_source_priority,phase3aa_event_0041_cn_zls_v1_zls_high_board_x_open_board_00041,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,-0.46,0.0,,0.0,,0.0,,0.0,,,,6.1,False,0.8,0.335,cluster_033,0.8,0.335,cluster_033,0.2,0.8,0.8,0.453333,0.453333,prov_8c6dfe7c,,,,,,,,,,2abe9ad08a654e290576,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_2abe9ad08a65,event_derived_feature_layer|sigprov_2abe9ad08a65,self_vector,0.0,0.0,0.0,0.0,,f0f0f84e588cca07e33c,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,9,5,0.0,1.0,1.0,0.8,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,-0.0275,-0.0275,,,False,backfill_candidate,False,signal_vector_proxy,,-0.0275,,"CSRank(Mul(ZScore($ctx_zls_max_lb_num_lag1),ZScore($ctx_zls_zb_num_lag1)))"
Phase3AA_G2_event_source_priority,phase3aa_event_0040_cn_zls_v1_zls_ladder_to_limit_ratio_00040,,event_derived_feature_layer,cn_zzshare_limit_sentiment_factor_pack_v1,phase3aa_research_feature_injection,signal_vector_diversified_source_priority_proxy,phase3g-signal-vector-selector-v1-2026-05-14,0.3535712,0.0,,0.0,,0.0,,0.0,,,,8.0,False,0.107143,0.089048,cluster_076,0.107143,0.089048,cluster_076,0.892857,0.166667,0.166667,0.086786,0.086786,prov_1e42ead6,,,,,,,,,,dec25c53b8d32b0b2158,runtime_evaluated,,True,cluster_001,0.0,0.0,1.0,,sigprov_dec25c53b8d3,event_derived_feature_layer|sigprov_dec25c53b8d3,self_vector,0.028152,0.028152,0.020228,0.020228,,f0f0f84e588cca07e33c,0,0,0,0.028152,0.0,0.0,0.0,0.0,0.0,,signal_vector_diversified_source_priority_proxy,0.0,0.0,0.083538,0.091872,0.097157,4,2,0.0,1.0,1.0,0.107143,0.0,True,,,turnover_proxy|cost_adjusted_proxy|liquidity_proxy|capacity_proxy|factor_exposure_proxy|sector_concentration_proxy,candidate_return_vector|registry_return_vectors|true_book_marginal,0.7593268,0.7593268,15,15,True,selected_D3_primary,False,signal_vector_proxy,,0.7593268,,"CSRank(Div(Add($ctx_zls_lb_2_num_lag1,$ctx_zls_lb_3_num_lag1),Add(Abs($ctx_zls_uplimit_num_lag1),0.000001)))"
