candidate_id,expression,factor_lane,source_lane,source_generator,search_memory_key,expression_hash,seed_family,parent_note,fresh_search_intent,x0_r3_role
phase3ax_capacity_refine_00001,"Neg(CSRank(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))))",ax_inverse_capacity_flow_level,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:98421c502b1b2752bb66c1a0,98421c502b1b2752bb66c1a0,phase3aw_directional_capacity,amount/final_float_market_cap/mean1,True,read_only_research_candidate
phase3ax_capacity_refine_00002,"Neg(CSRank(Div(Std($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))))",ax_inverse_capacity_flow_volatility,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:04a5125a8bf640ef608a1400,04a5125a8bf640ef608a1400,phase3aw_directional_capacity,amount/final_float_market_cap/std1,True,read_only_research_candidate
phase3ax_capacity_refine_00003,"Neg(CSRank(CSResidual(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,1)))))",ax_capacity_residual_vs_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:3815993f286d28f48f0f84f8,3815993f286d28f48f0f84f8,phase3aw_directional_capacity,amount/final_float_market_cap/resid_mom1,True,read_only_research_candidate
phase3ax_capacity_refine_00004,"Neg(CSRank(Mul(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,3)))))",ax_capacity_flow_x_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:0cfd24421817df48247a0f06,0cfd24421817df48247a0f06,phase3aw_directional_capacity,amount/final_float_market_cap/mean1_x_mom3,True,read_only_research_candidate
phase3ax_capacity_refine_00005,"Neg(CSRank(Mul(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,5)))))",ax_capacity_flow_x_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:5115da525976efc033928124,5115da525976efc033928124,phase3aw_directional_capacity,amount/final_float_market_cap/mean1_x_mom5,True,read_only_research_candidate
phase3ax_capacity_refine_00006,"Neg(CSRank(Mul(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,10)))))",ax_capacity_flow_x_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:87ed75506491ddde216f75dc,87ed75506491ddde216f75dc,phase3aw_directional_capacity,amount/final_float_market_cap/mean1_x_mom10,True,read_only_research_candidate
phase3ax_capacity_refine_00007,"Neg(CSRank(Mul(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,20)))))",ax_capacity_flow_x_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:01e8ed28fc42a0ff3e59411f,01e8ed28fc42a0ff3e59411f,phase3aw_directional_capacity,amount/final_float_market_cap/mean1_x_mom20,True,read_only_research_candidate
phase3ax_capacity_refine_00008,"Neg(CSRank(Mul(ZScore(Div(Mean($amount,1),Add(Abs(Mean($final_float_market_cap,1)),0.000001))),ZScore(Mom($close,30)))))",ax_capacity_flow_x_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:cab133fa7e48a20b27e0a7ed,cab133fa7e48a20b27e0a7ed,phase3aw_directional_capacity,amount/final_float_market_cap/mean1_x_mom30,True,read_only_research_candidate
phase3ax_capacity_refine_00009,"Neg(CSRank(Div(Std($amount,2),Add(Abs(Mean($final_float_market_cap,2)),0.000001))))",ax_inverse_capacity_flow_volatility,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:213cb25f6b83f543d465edaa,213cb25f6b83f543d465edaa,phase3aw_directional_capacity,amount/final_float_market_cap/std2,True,read_only_research_candidate
phase3ax_capacity_refine_00010,"Neg(CSRank(CSResidual(ZScore(Div(Mean($amount,2),Add(Abs(Mean($final_float_market_cap,2)),0.000001))),ZScore(Mom($close,2)))))",ax_capacity_residual_vs_price_momentum,phase3ax_capacity_flow_refinement,phase3ax_capacity_flow_refinement_pack_v1,phase3ax:fe0f3cf51f1349e29748dbd2,fe0f3cf51f1349e29748dbd2,phase3aw_directional_capacity,amount/final_float_market_cap/resid_mom2,True,read_only_research_candidate
