candidate_id,status,fields,blockers,expression
cn_flow_liq_v1_capacity_normalized_flow_0081,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(Div(Mean($amount,3),Add(Abs(Mean($final_float_market_cap,3)),0.000001)))"
cn_flow_liq_v1_capacity_residual_flow_0082,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(CSResidual(ZScore(Mean($amount,3)),ZScore(Mean($final_float_market_cap,3))))"
cn_flow_liq_v1_capacity_normalized_flow_0083,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(Div(Mean($amount,5),Add(Abs(Mean($final_float_market_cap,5)),0.000001)))"
cn_flow_liq_v1_capacity_residual_flow_0084,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(CSResidual(ZScore(Mean($amount,5)),ZScore(Mean($final_float_market_cap,5))))"
cn_flow_liq_v1_capacity_normalized_flow_0085,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(Div(Mean($amount,10),Add(Abs(Mean($final_float_market_cap,10)),0.000001)))"
cn_flow_liq_v1_capacity_residual_flow_0086,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(CSResidual(ZScore(Mean($amount,10)),ZScore(Mean($final_float_market_cap,10))))"
cn_flow_liq_v1_capacity_normalized_flow_0087,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(Div(Mean($amount,20),Add(Abs(Mean($final_float_market_cap,20)),0.000001)))"
cn_flow_liq_v1_capacity_residual_flow_0088,sidecar_context_formula,amount|final_float_market_cap,,"CSRank(CSResidual(ZScore(Mean($amount,20)),ZScore(Mean($final_float_market_cap,20))))"
cn_flow_liq_v1_capacity_normalized_flow_0089,sidecar_context_formula,float_share|volume,,"CSRank(Div(Mean($volume,3),Add(Abs(Mean($float_share,3)),0.000001)))"
cn_flow_liq_v1_capacity_normalized_flow_0090,sidecar_context_formula,float_share|volume,,"CSRank(Div(Mean($volume,5),Add(Abs(Mean($float_share,5)),0.000001)))"
cn_flow_liq_v1_capacity_normalized_flow_0091,sidecar_context_formula,float_share|volume,,"CSRank(Div(Mean($volume,10),Add(Abs(Mean($float_share,10)),0.000001)))"
cn_flow_liq_v1_capacity_normalized_flow_0092,sidecar_context_formula,float_share|volume,,"CSRank(Div(Mean($volume,20),Add(Abs(Mean($float_share,20)),0.000001)))"
cn_flow_liq_v1_amihud_illiquidity_0093,still_blocked,amount|daily_ret,forbidden_field:daily_ret,"CSRank(Div(Mean(Abs($daily_ret),3),Add(Abs(Mean($amount,3)),0.000001)))"
cn_flow_liq_v1_amihud_illiquidity_0094,still_blocked,amount|daily_ret,forbidden_field:daily_ret,"CSRank(Div(Mean(Abs($daily_ret),5),Add(Abs(Mean($amount,5)),0.000001)))"
cn_flow_liq_v1_amihud_illiquidity_0095,still_blocked,amount|daily_ret,forbidden_field:daily_ret,"CSRank(Div(Mean(Abs($daily_ret),10),Add(Abs(Mean($amount,10)),0.000001)))"
cn_flow_liq_v1_amihud_illiquidity_0096,still_blocked,amount|daily_ret,forbidden_field:daily_ret,"CSRank(Div(Mean(Abs($daily_ret),20),Add(Abs(Mean($amount,20)),0.000001)))"
cn_integrated_v2_quality_direct_control_00001,sidecar_context_formula,ctx_fund_ps_operate_profit_margin,,CSRank($ctx_fund_ps_operate_profit_margin)
cn_integrated_v2_quality_size_residual_00002,sidecar_context_formula,ctx_fund_ps_operate_profit_margin|final_float_market_cap,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($final_float_market_cap)))"
cn_integrated_v2_quality_size_residual_00003,sidecar_context_formula,ctx_fund_ps_operate_profit_margin|final_total_market_cap,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($final_total_market_cap)))"
cn_integrated_v2_quality_size_residual_00004,sidecar_context_formula,amount|ctx_fund_ps_operate_profit_margin,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($amount)))"
cn_integrated_v2_quality_minus_balance_risk_00005,sidecar_context_formula,ctx_fund_bs_debt_to_assets|ctx_fund_ps_operate_profit_margin,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_debt_to_assets)))"
cn_integrated_v2_quality_minus_balance_risk_00006,sidecar_context_formula,ctx_fund_bs_goodwill_to_assets|ctx_fund_ps_operate_profit_margin,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_goodwill_to_assets)))"
cn_integrated_v2_quality_minus_balance_risk_00007,sidecar_context_formula,ctx_fund_bs_inventory_to_assets|ctx_fund_ps_operate_profit_margin,,"CSRank(Sub(ZScore($ctx_fund_ps_operate_profit_margin),ZScore($ctx_fund_bs_inventory_to_assets)))"
