expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bp_blocker_flags,phase3bp_decision
6109e0fb1996c5871e3d32a3,phase3bp_00045,,rx_intraday_return::rank,intraday_ret_from_open,"CSRank(ZScore(Delta($intraday_ret_from_open,8)))",1,6,-0.1401787217,0.1455414304,0.04861111111,-0.0005358330326,0.000630620101,0.1215277778,-0.02559636211,0.2961931141,0.7802800652,1991,94914,96822,1,0,-0.1401787217,-0.0005358330326,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.15687477,rx atom transform intraday_delta_8,short_top,0.1401787217,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
333b291141ce4b15e7ff2cb1,phase3bp_00046,,rx_intraday_return::inverted,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,8))))",1,6,0.1401787217,0.1455414304,0.9513888889,0.0005336050535,0.0006291793988,0.8819444444,0.02559636211,-0.2961931141,0.7803136078,1991,94914,96822,1,0,0.1401787217,0.0005336050535,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.15686062,rx atom transform intraday_delta_8,long_top,0.1401787217,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
55fe0bd8c6dc51b0c68261ce,phase3bp_01081,,rx_interaction::rx_intraday_return::rx_opening_amount::product,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,8)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,6,0.1365866264,0.1392200219,0.9689922481,0.000520475404,0.0005678994007,0.9069767442,0.02452984717,-0.2858695222,0.7785112252,1924,85264,96822,1,0,0.1365866264,0.000520475404,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.09240156,rx interaction intraday_delta_8 x m1_first30_vol product,long_top,0.1365866264,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
377353004f44d81ad84002c4,phase3bp_01978,,rx_interaction::rx_intraday_return::rx_range_location::spread,high|low|open|ret_1m,"CSRank(Sub(ZScore(Delta($ret_1m,30)),ZScore(Std(Div(Sub($high,$low),Add(Abs($open),0.000001)),30))))",1,6,-0.1039715089,0.1080600531,0.06597222222,-0.0004915036433,0.000548649005,0.1215277778,0.005635077681,0.5036436578,0.7264450945,1967,94914,96822,1,0,-0.1039715089,-0.0004915036433,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.15782644,rx interaction ret_delta_30 x range_vol_30 spread,short_top,0.1039715089,4,future_signal_wrong_lag_too_strong,bp_watch_or_reject
4534dbe823cd3f2dfec12538,phase3bp_00101,,rx_intraday_return::rank,intraday_ret_from_open,"CSRank(ZScore(Delta($intraday_ret_from_open,30)))",15,6,-0.09226904334,0.1258903115,0.2291666667,-0.000646575854,0.001738689109,0.3680555556,-0.008081397908,-0.03249170372,0.7719267303,2029,94914,96822,1,0,-0.09226904334,-0.000646575854,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.16704187,rx atom transform intraday_delta_30,short_top,0.09226904334,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
aa9a6af0255f880beee0b6ee,phase3bp_00102,,rx_intraday_return::inverted,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,30))))",15,6,0.09226904334,0.1258903115,0.7708333333,0.0006443026926,0.001739226396,0.6284722222,0.008081397908,0.03249170372,0.7719263022,2029,94914,96822,1,0,0.09226904334,0.0006443026926,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.16702772,rx atom transform intraday_delta_30,long_top,0.09226904334,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
fe9b06ad7fed77677afb5492,phase3bp_02098,,rx_interaction::rx_intraday_return::rx_opening_amount::spread,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",30,6,-0.09177210979,0.1230081096,0.2519379845,-0.0007739627293,0.0021713661,0.3759689922,-0.02002837773,-0.05131777393,0.7709826918,1924,85264,96822,1,0,-0.09177210979,-0.0007739627293,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10018635,rx interaction intraday_delta_30 x m1_first30_vol spread,short_top,0.09177210979,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
d3b0192ac84f1ecc43e5f4f3,phase3bp_02097,,rx_interaction::rx_intraday_return::rx_opening_amount::product,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",30,6,0.08834930508,0.1155394856,0.7596899225,0.0007626569353,0.002074064581,0.6240310078,0.02124350952,0.04657337942,0.7719432997,1924,85264,96822,1,0,0.08834930508,0.0007626569353,,bl_signal_materialized_pass,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10256866,rx interaction intraday_delta_30 x m1_first30_vol product,long_top,0.08834930508,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
78c12e1117117d66e838bf1e,phase3bp_02068,,rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,amount|intraday_ret_from_open,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Delta($amount,30))))",30,6,-0.08424810493,0.1172239711,0.2326388889,-0.0007047992172,0.002029133121,0.3611111111,-0.007446511625,-0.05465282563,0.7554624366,1959,94914,96822,1,0,-0.08424810493,-0.0007047992172,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.10155004,rx interaction intraday_delta_30 x amount_delta_30 spread,short_top,0.08424810493,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
227773a29cc9e522cb9db66a,phase3bp_02070,,rx_interaction::rx_intraday_return::rx_flow_amount_volume::spread,intraday_ret_from_open|volume,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,30)),ZScore(Delta($volume,30))))",30,6,-0.08359576342,0.114520425,0.2361111111,-0.0006298483551,0.002065926904,0.3645833333,-0.008621728562,-0.05429085028,0.7620215866,1981,94914,96822,1,0,-0.08359576342,-0.0006298483551,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bp_true1min_rx_ucb_native,phase3bp_true1min_rx_ucb_native,0.09966964,rx interaction intraday_delta_30 x volume_delta_30 spread,short_top,0.08359576342,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
