signal_cluster_id,event_family,expression,overlay_decision,candidate_action,timing_profile,active_days,best_regime_days,full_ann,sortino,mean_event_return,median_turnover,p90_turnover,corr_to_x0,blend_delta_vs_x0,fragility_flag,fragility_reasons,beats_random_p95,top3_positive_share,overlay_score,challenger_score,event_module_score,veto_intensifier_score,evidence_penalty,top_lane,top_lane_score,lane_decision
cluster_001,limit_streak,"Neg(ZScore(Mean(Delay($market_high_board_leader_ge9,1),15)))",REJECT_OVERLAY_NO_MARGINAL_VALUE,ALLOW_OOS_REGIME_REPLAY,delayed_or_persistent,51,8,0.136626,1.684521,0.00050832,0.013678,0.018519,0.288368,-0.108678,True,small_oos_slice|top3_positive_concentrated|does_not_beat_random_p95,False,0.792622,-0.670638,-0.897911,-1.299263,-0.732644,0.85,veto_intensifier,-0.732644,REJECT_OR_DIAGNOSTIC_ONLY
cluster_002,limit_streak,"Neg(ZScore(Mean(Delay($limit_up_streak_ge8,1),7)))",REJECT_OVERLAY_NO_MARGINAL_VALUE,ALLOW_OOS_REGIME_REPLAY_WITH_STRICT_MISMATCH_FLAG,front_loaded,37,10,0.687009,6.783088,0.00207738,0.013804,0.020313,0.29353,-0.119755,True,small_oos_slice|top3_positive_concentrated,True,0.730298,-0.704489,-0.899398,-0.915151,-1.31049,1.35,challenger,-0.899398,REJECT_OR_DIAGNOSTIC_ONLY
cluster_007,limit_streak,"Neg(CSRank(Mul(ZScore(Div(Mean($turnover_rate,1),Mean($turnover_rate,11))),ZScore(Sub(Mean(Delay($market_high_board_leader_ge8,1),2),Mean(Delay($market_high_board_leader_ge8,1),11))))))",REJECT_OVERLAY_HIGH_TURNOVER,HOLD_TURNOVER_COST_STRESS_BEFORE_OOS,delayed_or_persistent,47,8,0.203679,1.43294,0.00073592,0.700136,0.981531,0.158222,-0.104024,True,small_oos_slice|top3_positive_concentrated|does_not_beat_random_p95,False,0.756113,-0.881113,-1.843487,-1.612746,-1.341952,1.45,veto_intensifier,-1.341952,REJECT_OR_DIAGNOSTIC_ONLY
cluster_017,limit_streak,"Neg(ZScore(Mean(Delay($market_high_board_leader_ge8,1),14)))",REJECT_OVERLAY_NO_MARGINAL_VALUE,ALLOW_OOS_REGIME_REPLAY_WITH_STRICT_MISMATCH_FLAG,short_horizon,53,9,0.252193,2.470963,0.00089284,0.01372,0.018555,0.285364,-0.11148,True,small_oos_slice|top3_positive_concentrated|does_not_beat_random_p95,False,0.749341,-0.678684,-0.911992,-1.177448,-0.87704,1.0,veto_intensifier,-0.87704,REJECT_OR_DIAGNOSTIC_ONLY
cluster_030,limit_open_not_close,"Neg(ZScore(Delay($limit_up_open_not_close,1)))",REJECT_OVERLAY_NO_MARGINAL_VALUE,HOLD_EXPAND_SAMPLE_BEFORE_REPLAY,front_loaded,70,17,0.098834,1.116681,0.00037408,0.036532,0.06945,0.544956,-0.10779,True,does_not_beat_random_p95,False,0.476476,-0.698765,-0.793126,-1.04526,-0.63442,0.65,veto_intensifier,-0.63442,VERY_SHORT_HORIZON_DIAGNOSTIC_ONLY
