expression_hash,candidate_id,phase3bk_rank,factor_lane,fields,expression,horizon_min,shard_count,ic_mean,ic_abs_mean,ic_hit_rate,spread_mean,spread_abs_mean,spread_hit_rate,wrong_lag_prev_ic_mean,wrong_lag_future_ic_mean,mean_one_way_turnover,signal_unique_min,signal_nonnull_sum,eval_rows_sum,expected_direction,primary_horizon_min,aligned_ic_mean,aligned_spread_mean,blocker_flags,phase3bl_decision,source_generator,source_lane,policy_score,note,open_direction,abs_aligned_ic_mean,positive_horizon_count,phase3bp_blocker_flags,phase3bp_decision
cfa8fd6b8a34a81ab034cb34,phase3bs_00038,,cem_atom::rx_intraday_return::rank,intraday_ret_from_open,"CSRank(ZScore(Delta($intraday_ret_from_open,10)))",1,4,-0.1290603591,0.1405003112,0.07236842105,-0.0005160138957,0.0006545859813,0.09210526316,-0.03384397029,0.2695418299,0.7818981318,1980,50464,51736,1,0,-0.1290603591,-0.0005160138957,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14345443,phase3bs_adaptive_cem_feedback: cem seed atom intraday_delta_10,short_top,0.1290603591,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
be5942ca7b1db91c566f16a7,phase3bs_00024,,cem_resample::rx_intraday_return::rx_opening_amount::elite_spread_mean3,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Mean(Div($m1_first30_vol,Add(Abs($volume),0.000001)),3))))",5,4,-0.1267276477,0.1303772334,0.04411764706,-0.0007373467596,0.0008732118699,0.1544117647,-0.0494229234,0.01987359004,0.7787039525,1924,45322,51736,1,0,-0.1267276477,-0.0007373467596,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.16658836,phase3bs_adaptive_cem_feedback: cem round 2 elite resample intraday_delta_15 x m1_first30_vol,short_top,0.1267276477,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
ef026a944f3b9ae1a60d76ca,phase3bs_00101,,cem_interaction::rx_intraday_return::rx_flow_amount_volume::spread,ret_1m|volume,"CSRank(Sub(ZScore(Delta($ret_1m,15)),ZScore(Delta($volume,15))))",1,4,-0.1265596901,0.1305720462,0.06578947368,-0.0006052243728,0.0007093618875,0.09868421053,-0.0186478396,0.561135021,0.7736115657,1980,50464,51736,1,0,-0.1265596901,-0.0006052243728,primary_direction_not_reproduced|future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.11355873,phase3bs_adaptive_cem_feedback: cem seed interaction ret_delta_15 x volume_delta_15 spread,short_top,0.1265596901,4,signal_corr_abs_ge_0.75|future_signal_wrong_lag_too_strong,bp_watch_or_reject
ef18056f438dccf64408120c,phase3bs_00028,,cem_resample::rx_intraday_return::rx_opening_amount::elite_delta_product,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta(Delta($intraday_ret_from_open,15),2)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",1,4,0.1260607257,0.129868131,0.9632352941,0.0005107706422,0.0006134332081,0.8823529412,0.02817809288,-0.3648428214,0.7825744761,1924,45322,51736,1,0,0.1260607257,0.0005107706422,future_signal_wrong_lag_too_strong,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.15839155,phase3bs_adaptive_cem_feedback: cem round 3 elite resample intraday_delta_15 x m1_first30_vol,long_top,0.1260607257,4,future_signal_wrong_lag_too_strong,bp_watch_or_reject
6203e1cdad31e84ebd5dea89,phase3bs_00034,,cem_interaction::rx_intraday_return::rx_opening_amount::spread,intraday_ret_from_open|m1_first5_vol|volume,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Div($m1_first5_vol,Add(Abs($volume),0.000001)))))",5,4,-0.123968453,0.1274298705,0.0472972973,-0.0008067816576,0.0009603296854,0.1689189189,-0.04834375314,0.02083269058,0.778292584,1924,49181,51736,1,0,-0.123968453,-0.0008067816576,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.15016621,phase3bs_adaptive_cem_feedback: cem seed interaction intraday_delta_15 x m1_first5_vol spread,short_top,0.123968453,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
f5f8487ce142dbc6d132daf7,phase3bs_00043,,cem_interaction::rx_intraday_return::rx_opening_amount::spread,intraday_ret_from_open|m1_first15_vol|volume,"CSRank(Sub(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Div($m1_first15_vol,Add(Abs($volume),0.000001)))))",5,4,-0.123084093,0.1267463594,0.05405405405,-0.000811397996,0.0009763902565,0.1756756757,-0.04839656739,0.02166061353,0.7781200514,1924,49181,51736,1,0,-0.123084093,-0.000811397996,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.14298,phase3bs_adaptive_cem_feedback: cem seed interaction intraday_delta_15 x m1_first15_vol spread,short_top,0.123084093,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
014eeb8694ee03b47f3875fa,phase3bs_00015,,cem_atom::rx_intraday_return::rank,intraday_ret_from_open,"CSRank(ZScore(Delta($intraday_ret_from_open,15)))",5,4,-0.1204469732,0.1332947047,0.07236842105,-0.0006598593139,0.0009381919822,0.1907894737,-0.04998659904,0.02844381502,0.7787176366,1999,50464,51736,1,0,-0.1204469732,-0.0006598593139,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.17335419,phase3bs_adaptive_cem_feedback: cem seed atom intraday_delta_15,short_top,0.1204469732,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
9165995ab31cc9104e17278f,phase3bs_00013,,cem_atom::rx_intraday_return::inverted,intraday_ret_from_open,"Neg(CSRank(ZScore(Delta($intraday_ret_from_open,15))))",5,4,0.1204469732,0.1332947047,0.9276315789,0.000642704581,0.0009377929716,0.8092105263,0.04998659904,-0.02844381502,0.7785046618,1999,50464,51736,1,0,0.1204469732,0.000642704581,,bl_signal_materialized_pass,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.17426924,phase3bs_adaptive_cem_feedback: cem seed atom intraday_delta_15,long_top,0.1204469732,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
55597bc0ee77fd3f6ecfdd5e,phase3bs_00026,,cem_resample::rx_intraday_return::rx_opening_amount::elite_inverted_product,intraday_ret_from_open|m1_first30_vol|volume,"Neg(CSRank(Mul(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001))))))",5,4,-0.1187443879,0.1236795495,0.09558823529,-0.0005422134412,0.0008201056917,0.2352941176,-0.04356327571,0.02965738427,0.7805699789,1924,45322,51736,1,0,-0.1187443879,-0.0005422134412,primary_direction_not_reproduced,bl_signal_materialized_watch,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.16505979,phase3bs_adaptive_cem_feedback: cem round 1 elite resample intraday_delta_15 x m1_first30_vol,short_top,0.1187443879,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
f527d6894a24f3667b276a50,phase3bs_00027,,cem_interaction::rx_intraday_return::rx_opening_amount::product,intraday_ret_from_open|m1_first30_vol|volume,"CSRank(Mul(ZScore(Delta($intraday_ret_from_open,15)),ZScore(Div($m1_first30_vol,Add(Abs($volume),0.000001)))))",5,4,0.1187443879,0.1236795495,0.9044117647,0.0005434524532,0.0008162946047,0.7647058824,0.04356327571,-0.02965738427,0.78161267,1924,45322,51736,1,0,0.1187443879,0.0005434524532,,bl_signal_materialized_pass,phase3bs_adaptive_cem_feedback,phase3bs_adaptive_cem_feedback,0.15815725,phase3bs_adaptive_cem_feedback: cem seed interaction intraday_delta_15 x m1_first30_vol product,long_top,0.1187443879,4,signal_corr_abs_ge_0.75,bp_watch_or_reject
