gate,calendar_days,active_days,active_day_ratio,active_minus_inactive_mean_daily,full_days,full_mean_daily,full_ann_simple,full_ann_compound,full_sharpe,full_sortino,full_hit_rate,full_max_drawdown,full_total_return,active_mean_daily,active_ann_simple,active_ann_compound,active_sharpe,active_sortino,active_hit_rate,active_max_drawdown,active_total_return,inactive_days,inactive_mean_daily,inactive_ann_simple,inactive_ann_compound,inactive_sharpe,inactive_sortino,inactive_hit_rate,inactive_max_drawdown,inactive_total_return,test_type
R3_liquidity_low,78,38,0.487179,0.00812318,78,0.00308941,0.778531,1.175657,4.547115,6.085253,0.320513,-0.03442312,0.266314,0.00634142,1.598037,3.918442,6.815622,12.490783,0.657895,-0.03442312,0.266314,40,-0.00178176,-0.449004,-0.361992,-1.854517,-3.739327,0.425,-0.0997549,-0.073174,true_gate
R5_vol_or_trendlow_or_liqlow,78,52,0.666667,0.00698017,78,0.00300161,0.756405,1.12819,3.827856,7.265461,0.384615,-0.04184402,0.255818,0.00450241,1.134607,2.102041,4.757818,10.898191,0.576923,-0.04184402,0.255818,26,-0.00247776,-0.624397,-0.46483,-2.526644,-4.407759,0.461538,-0.09633056,-0.065427,true_gate
R6_at_least_2_of_vol_trend_liq,78,43,0.551282,0.00615171,78,0.00272116,0.685733,0.983379,3.842269,6.113946,0.333333,-0.04667989,0.230081,0.00493606,1.243888,2.458477,5.302863,11.090413,0.604651,-0.04184402,0.230081,35,-0.00121564,-0.306341,-0.264002,-1.219703,-2.380566,0.457143,-0.07556513,-0.045873,true_gate
R1_volatility_high,78,47,0.602564,0.00549328,78,0.00262652,0.661884,0.936759,3.541104,6.113221,0.346154,-0.04994616,0.220477,0.00435891,1.098445,1.992347,4.638562,10.145345,0.574468,-0.04994616,0.220477,31,-0.00113437,-0.28586,-0.248754,-1.131061,-2.149155,0.483871,-0.07249946,-0.038366,true_gate
R2_trend_low,78,35,0.448718,0.00350555,78,0.00184344,0.464546,0.590611,2.812692,4.087046,0.269231,-0.0472475,0.149667,0.00410823,1.035274,1.809913,4.282295,9.108274,0.6,-0.0472475,0.149667,43,0.00060268,0.151876,0.163962,0.611501,1.166525,0.488372,-0.09156861,0.020863,true_gate
F1_breadth_low_failed_control,78,29,0.371795,-0.00366461,78,-4.701e-05,-0.011847,-0.011777,-0.083235,-0.090794,0.192308,-0.08071471,-0.006774,-0.00012644,-0.031864,-0.031363,-0.136509,-0.244206,0.517241,-0.08071471,-0.006774,49,0.00353817,0.891618,1.435238,3.535627,7.369676,0.55102,-0.05070091,0.181657,true_gate
F2_trend_high_failed_control,78,24,0.307692,-0.00336479,78,-4.732e-05,-0.011924,-0.011854,-0.082592,-0.088514,0.153846,-0.06133498,-0.006896,-0.00015378,-0.038754,-0.038015,-0.148899,-0.287669,0.5,-0.06133498,-0.006896,54,0.003211,0.809173,1.24314,3.385572,7.104053,0.555556,-0.06476519,0.181802,true_gate
F3_liquidity_high_failed_control,78,16,0.205128,-0.00425784,78,-0.00024795,-0.062483,-0.060578,-0.503754,-0.506358,0.076923,-0.0653037,-0.021486,-0.00120875,-0.304605,-0.262721,-1.114436,-2.468496,0.375,-0.0653037,-0.021486,62,0.00304909,0.76837,1.153729,3.231898,6.174546,0.580645,-0.08458816,0.199424,true_gate
