cluster_id,candidate_uid,source_lane,base_expression,test_type,test_expression,ablation_role,ablation_kind,expected_result
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",low_order_ablation,"CSRank(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",low_order_ablation,"CSRank(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",low_order_ablation,"CSRank(Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))))",drop_component_1,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
s47_cluster_006,phase3k_b_fresh:s47_cluster_006,formula_gen_v2_repair_expansion,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),Mul(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2))))))))",low_order_ablation,"CSRank(Mul(Sign(ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))),ZScore(CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($amount,2)))))))",drop_component_2,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_014,phase3j_locked:cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",low_order_ablation,"CSRank(ZScore(Mean($close,8)))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
cluster_014,phase3j_locked:cluster_014,formula_gen_v2_repair_expansion,"CSRank(Mul(ZScore(Mean($close,8)),ZScore(Mean($final_float_market_cap,34))))",low_order_ablation,"CSRank(ZScore(Mean($final_float_market_cap,34)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,agnostic_freeform_ast,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",low_order_ablation,"CSRank(Sign(Std($turnover_rate,8)))",component_1,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,agnostic_freeform_ast,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",low_order_ablation,"CSRank(CSRank(Mean($turnover_rate,5)))",component_2,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,agnostic_freeform_ast,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",low_order_ablation,"CSRank(ZScore(Mean($close,13)))",component_3,top_level_mul_component,full_formula_should_add_value_over_low_order_variant
s48_cluster_006,phase3k_b_fresh:s48_cluster_006,agnostic_freeform_ast,"CSRank(Mul(Sign(Std($turnover_rate,8)),Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13)))))",low_order_ablation,"CSRank(Mul(CSRank(Mean($turnover_rate,5)),ZScore(Mean($close,13))))",drop_component_1,leave_one_out_mul_component,full_formula_should_add_value_over_low_order_variant
