window,calendar_days,active_days,active_ratio,liquidity_ratio_lag1_median_active,liquidity_ratio_lag1_p10_active,liquidity_ratio_lag1_p90_active,full_days,full_mean_daily,full_ann_simple,full_ann_compound,full_sharpe,full_sortino,full_hit_rate,full_max_drawdown,full_total_return,active_mean_daily,active_ann_simple,active_ann_compound,active_sharpe,active_sortino,active_hit_rate,active_max_drawdown,active_total_return,inactive_days,inactive_mean_daily,inactive_ann_simple,inactive_ann_compound,inactive_sharpe,inactive_sortino,inactive_hit_rate,inactive_max_drawdown,inactive_total_return
all_history_2020_2026,1525,790,0.518033,0.895211,0.787329,0.962794,1525,-0.00014833,-0.03738,-0.036693,-0.268542,-0.308399,0.24459,-0.51253624,-0.247878,-0.00028634,-0.072158,-0.069625,-0.373156,-0.595326,0.472152,-0.51253624,-0.247878,735,-0.00145088,-0.365621,-0.306419,-1.553469,-2.282069,0.47483,-0.72859664,-0.682856
historical_2020_2024,1204,625,0.519103,0.902163,0.787782,0.962935,1204,-0.00038522,-0.097074,-0.092528,-0.714269,-0.798259,0.241694,-0.479147,-0.398348,-0.00074208,-0.187004,-0.170617,-0.992299,-1.537766,0.4656,-0.479147,-0.398348,579,-0.00163253,-0.411398,-0.3375,-1.776442,-2.559018,0.47323,-0.68759814,-0.635054
train_2025h2,126,42,0.333333,0.85635,0.811356,0.909345,126,0.00055302,0.13936,0.149494,1.057152,1.223808,0.18254,-0.06434914,0.067522,0.00165905,0.418081,0.518517,1.839216,3.671424,0.547619,-0.06434914,0.067522,84,0.00077695,0.195792,0.216182,0.741635,1.021704,0.559524,-0.11534771,0.055038
recent_oos_2026,78,38,0.487179,0.928364,0.843463,0.969198,78,0.00308941,0.778531,1.175657,4.547115,6.085253,0.320513,-0.03442312,0.266314,0.00634142,1.598037,3.918442,6.815622,12.490783,0.657895,-0.03442312,0.266314,40,-0.00178176,-0.449004,-0.361992,-1.854517,-3.739327,0.425,-0.0997549,-0.073174
recent_2025h2_2026,204,80,0.392157,0.870466,0.818638,0.966109,204,0.00152281,0.383749,0.467349,2.568345,3.20013,0.235294,-0.06434914,0.351818,0.00388317,0.97856,1.655585,4.18714,8.160332,0.6,-0.06434914,0.351818,124,-4.844e-05,-0.012207,-0.012133,-0.047341,-0.072706,0.516129,-0.18008117,-0.022164
