date,return,liquidity_ratio_lag1,pit_regime_label,window
2020-10-15,-0.01167549,0.735158,limit_density_high,historical_2020_2024
2020-10-16,0.01160711,0.735732,limit_density_high,historical_2020_2024
2020-10-19,-0.00771018,0.740694,limit_density_high,historical_2020_2024
2020-10-20,-0.0065793,0.750209,limit_density_high,historical_2020_2024
2020-10-21,-0.02811221,0.752851,limit_density_high,historical_2020_2024
2020-10-22,0.00649384,0.757967,limit_density_high,historical_2020_2024
2020-10-23,0.01431775,0.765132,limit_density_high,historical_2020_2024
2020-10-26,0.01579732,0.770956,limit_density_high,historical_2020_2024
2020-10-27,0.01114985,0.770045,limit_density_high,historical_2020_2024
2020-10-28,0.0035065,0.768414,limit_density_high,historical_2020_2024
2020-10-29,0.01411418,0.775305,limit_density_high,historical_2020_2024
2020-10-30,-0.00700916,0.789334,limit_density_high,historical_2020_2024
2020-11-02,-0.0021871,0.806546,limit_density_high,historical_2020_2024
2020-11-03,0.00379367,0.829512,limit_density_high,historical_2020_2024
2020-11-04,-0.01332409,0.854567,limit_density_high,historical_2020_2024
2020-11-05,0.01834215,0.877058,limit_density_high,historical_2020_2024
2020-11-06,-0.00875024,0.90258,limit_density_high,historical_2020_2024
2020-11-09,-0.0228182,0.920921,limit_density_high,historical_2020_2024
2020-11-10,0.0028551,0.93271,limit_density_high,historical_2020_2024
2020-11-11,-0.00167634,0.949268,limit_density_high,historical_2020_2024
2020-11-12,-0.00529268,0.961437,limit_density_high,historical_2020_2024
2020-11-13,-0.0116015,0.96936,limit_density_high,historical_2020_2024
2020-11-16,-0.01799839,0.977006,limit_density_high,historical_2020_2024
2020-11-17,0.00878384,0.983739,limit_density_high,historical_2020_2024
2021-03-12,-0.01015437,0.97793,limit_density_high,historical_2020_2024
2021-03-15,0.01485351,0.969105,limit_density_high,historical_2020_2024
2021-03-16,0.00894752,0.966292,limit_density_high,historical_2020_2024
2021-03-17,-0.01976767,0.956915,limit_density_high,historical_2020_2024
2021-03-18,-0.01263805,0.943161,limit_density_high,historical_2020_2024
2021-03-19,-0.00066173,0.91743,limit_density_high,historical_2020_2024
2021-03-22,-0.00788904,0.899334,limit_density_high,historical_2020_2024
2021-03-23,0.01058794,0.867698,limit_density_high,historical_2020_2024
2021-03-24,0.02676857,0.852455,limit_density_high,historical_2020_2024
2021-03-25,0.00110141,0.833728,limit_density_high,historical_2020_2024
2021-03-26,0.02098486,0.819043,limit_density_high,historical_2020_2024
2021-03-29,-0.01368368,0.807378,limit_density_high,historical_2020_2024
2021-03-30,0.02077424,0.798388,limit_density_high,historical_2020_2024
2021-03-31,0.016165,0.787565,limit_density_high,historical_2020_2024
2021-04-01,-0.00786402,0.778749,limit_density_high,historical_2020_2024
2021-04-02,-0.01585177,0.761955,limit_density_high,historical_2020_2024
2021-04-06,0.01511514,0.754754,limit_density_high,historical_2020_2024
2021-04-07,-0.02878644,0.741791,limit_density_high,historical_2020_2024
2021-04-08,-0.02201517,0.732112,limit_density_high,historical_2020_2024
2021-04-09,0.01215648,0.732762,limit_density_high,historical_2020_2024
2021-04-12,0.00227552,0.729538,limit_density_high,historical_2020_2024
2021-04-13,-0.00253388,0.730448,limit_density_high,historical_2020_2024
2021-04-14,-0.01426207,0.728472,limit_density_high,historical_2020_2024
2021-04-15,0.02141028,0.730571,limit_density_high,historical_2020_2024
2021-04-16,0.00695907,0.736269,limit_density_high,historical_2020_2024
2021-04-19,0.01318663,0.740306,limit_density_high,historical_2020_2024
2021-04-20,0.00179311,0.74955,limit_density_high,historical_2020_2024
2021-04-21,0.02026539,0.757137,limit_density_high,historical_2020_2024
2021-04-22,-0.00561639,0.761038,limit_density_high,historical_2020_2024
2021-04-23,0.01172367,0.763599,limit_density_high,historical_2020_2024
2021-04-26,0.00409918,0.777528,limit_density_high,historical_2020_2024
2021-04-27,-0.00503285,0.792041,limit_density_high,historical_2020_2024
2021-04-28,0.00790256,0.801774,limit_density_high,historical_2020_2024
2021-04-29,-0.03274643,0.810847,limit_density_high,historical_2020_2024
2021-04-30,-0.03738196,0.823109,limit_density_high,historical_2020_2024
2021-05-06,-0.01008558,0.841283,limit_density_high,historical_2020_2024
2021-05-07,0.00034821,0.856435,limit_density_high,historical_2020_2024
2021-05-10,0.0047836,0.8728,limit_density_high,historical_2020_2024
2021-05-11,0.00106627,0.883853,limit_density_high,historical_2020_2024
2021-05-12,0.01361772,0.89626,limit_density_high,historical_2020_2024
2021-05-13,0.02879227,0.906956,limit_density_high,historical_2020_2024
2021-05-14,-0.01482475,0.910959,limit_density_high,historical_2020_2024
2021-05-17,0.0056669,0.926358,limit_density_high,historical_2020_2024
2021-05-18,0.01672051,0.944854,limit_density_high,historical_2020_2024
2021-05-19,-0.01367347,0.956057,limit_density_high,historical_2020_2024
2021-05-20,0.00108229,0.972783,limit_density_high,historical_2020_2024
2021-05-21,0.02042237,0.977244,limit_density_high,historical_2020_2024
2021-10-12,-0.00038483,0.980474,limit_density_high,historical_2020_2024
2021-10-13,0.01336111,0.961857,limit_density_high,historical_2020_2024
2021-10-14,-0.01314824,0.946717,limit_density_high,historical_2020_2024
2021-10-15,0.00660419,0.930698,limit_density_high,historical_2020_2024
2021-10-18,0.00306654,0.917184,limit_density_high,historical_2020_2024
2021-10-19,-0.00406765,0.905612,limit_density_high,historical_2020_2024
2021-10-20,0.01249769,0.886397,limit_density_high,historical_2020_2024
2021-10-21,0.01480273,0.870298,limit_density_high,historical_2020_2024
2021-10-22,-0.00057087,0.850537,limit_density_high,historical_2020_2024
2021-10-25,0.00833888,0.841765,limit_density_high,historical_2020_2024
2021-10-26,0.0038446,0.830142,limit_density_high,historical_2020_2024
2021-10-27,0.00314001,0.826033,limit_density_high,historical_2020_2024
2021-10-28,-0.02411238,0.830306,limit_density_high,historical_2020_2024
2021-10-29,0.00830253,0.830048,limit_density_high,historical_2020_2024
2021-11-01,-0.01745654,0.830321,limit_density_high,historical_2020_2024
2021-11-02,0.00218644,0.826028,limit_density_high,historical_2020_2024
2021-11-03,-0.0072454,0.836523,limit_density_high,historical_2020_2024
2021-11-04,-0.00555555,0.84064,limit_density_high,historical_2020_2024
2021-11-05,0.00267568,0.849845,limit_density_high,historical_2020_2024
2021-11-08,-0.01013402,0.852815,limit_density_high,historical_2020_2024
2021-11-09,-0.00211258,0.856108,limit_density_high,historical_2020_2024
2021-11-10,-6.7e-07,0.85758,limit_density_high,historical_2020_2024
2021-11-11,-0.02003761,0.866685,limit_density_high,historical_2020_2024
2021-11-12,0.00397562,0.879988,limit_density_high,historical_2020_2024
2021-11-15,-0.00044277,0.882825,limit_density_high,historical_2020_2024
2021-11-16,-0.0029268,0.886577,limit_density_high,historical_2020_2024
2021-11-17,-0.00111083,0.89205,limit_density_high,historical_2020_2024
2021-11-18,0.01985156,0.893119,limit_density_high,historical_2020_2024
2021-11-19,-0.00841849,0.897753,limit_density_high,historical_2020_2024
2021-11-22,-0.01085608,0.901027,limit_density_high,historical_2020_2024
2021-11-23,-0.0065335,0.908438,limit_density_high,historical_2020_2024
2021-11-24,0.00560935,0.913064,limit_density_high,historical_2020_2024
2021-11-25,0.01597394,0.917025,limit_density_high,historical_2020_2024
2021-11-26,-0.01101761,0.917245,limit_density_high,historical_2020_2024
2021-11-29,-0.02279849,0.911246,limit_density_high,historical_2020_2024
2021-11-30,-0.00454291,0.906609,limit_density_high,historical_2020_2024
2021-12-01,0.00269891,0.901518,limit_density_high,historical_2020_2024
2021-12-02,-0.01220252,0.908692,limit_density_high,historical_2020_2024
2021-12-03,-0.01942592,0.913439,limit_density_high,historical_2020_2024
2021-12-06,0.01765748,0.920693,limit_density_high,historical_2020_2024
2021-12-07,-0.00281224,0.930388,limit_density_high,historical_2020_2024
2021-12-08,0.00765334,0.944967,limit_density_high,historical_2020_2024
2021-12-09,-0.00303614,0.95153,limit_density_high,historical_2020_2024
2021-12-10,-0.00212424,0.962076,limit_density_high,historical_2020_2024
2021-12-13,-0.02222087,0.973748,limit_density_high,historical_2020_2024
2021-12-14,-0.00657622,0.985962,limit_density_high,historical_2020_2024
2022-01-10,0.01372061,0.984237,limit_density_high,historical_2020_2024
2022-01-11,-0.01861841,0.975443,limit_density_high,historical_2020_2024
2022-01-12,0.02551635,0.961097,limit_density_high,historical_2020_2024
2022-01-13,0.00694164,0.956915,limit_density_high,historical_2020_2024
2022-01-14,0.00427991,0.955529,limit_density_high,historical_2020_2024
2022-01-17,-0.02808084,0.954088,limit_density_high,historical_2020_2024
2022-01-18,0.00367114,0.95109,limit_density_high,historical_2020_2024
2022-01-19,-0.00576597,0.949741,limit_density_high,historical_2020_2024
2022-01-20,0.01665454,0.954822,limit_density_high,historical_2020_2024
2022-01-21,0.0094628,0.960764,limit_density_high,historical_2020_2024
2022-01-24,-0.00028296,0.961871,limit_density_high,historical_2020_2024
2022-01-25,0.00379778,0.958085,limit_density_high,historical_2020_2024
2022-01-26,-0.02057632,0.963047,limit_density_high,historical_2020_2024
2022-01-27,-0.0125972,0.962267,limit_density_high,historical_2020_2024
2022-01-28,-0.0411352,0.959806,limit_density_high,historical_2020_2024
2022-02-07,0.00318938,0.958442,limit_density_high,historical_2020_2024
2022-02-08,-0.02175515,0.956679,limit_density_high,historical_2020_2024
2022-02-09,-0.00638398,0.943566,limit_density_high,historical_2020_2024
2022-02-10,0.00647066,0.928339,limit_density_high,historical_2020_2024
2022-02-11,0.03650571,0.922847,limit_density_high,historical_2020_2024
2022-02-14,-0.00582017,0.917286,limit_density_high,historical_2020_2024
2022-02-15,0.01651975,0.912033,limit_density_high,historical_2020_2024
2022-02-16,-0.01172788,0.906623,limit_density_high,historical_2020_2024
2022-02-17,-0.00897152,0.897293,limit_density_high,historical_2020_2024
2022-02-18,0.00216482,0.889198,limit_density_high,historical_2020_2024
2022-02-21,0.02618746,0.878693,limit_density_high,historical_2020_2024
2022-02-22,0.00015283,0.871399,limit_density_high,historical_2020_2024
2022-02-23,0.01868999,0.866698,limit_density_high,historical_2020_2024
2022-02-24,0.01479058,0.867502,limit_density_high,historical_2020_2024
2022-02-25,-0.00767479,0.875127,limit_density_high,historical_2020_2024
2022-02-28,-0.01255535,0.876872,limit_density_high,historical_2020_2024
2022-03-01,-0.02210097,0.880734,limit_density_high,historical_2020_2024
2022-03-02,0.00191516,0.88489,limit_density_high,historical_2020_2024
2022-03-03,-0.01582092,0.891418,limit_density_high,historical_2020_2024
2022-03-04,0.00505287,0.897871,limit_density_high,historical_2020_2024
2022-03-07,0.01498022,0.904067,limit_density_high,historical_2020_2024
2022-03-08,0.02032624,0.91367,limit_density_high,historical_2020_2024
2022-03-09,-0.00103017,0.924323,limit_density_high,historical_2020_2024
2022-03-10,-0.00605117,0.936206,limit_density_high,historical_2020_2024
2022-03-11,0.020896,0.942881,limit_density_high,historical_2020_2024
2022-03-14,0.00980464,0.949178,limit_density_high,historical_2020_2024
2022-03-15,0.00177447,0.956801,limit_density_high,historical_2020_2024
2022-03-16,-0.01217831,0.976512,limit_density_high,historical_2020_2024
2022-04-12,0.00702421,0.985842,limit_density_high,historical_2020_2024
2022-04-13,0.01519009,0.982712,limit_density_high,historical_2020_2024
2022-04-14,0.01395918,0.979726,limit_density_high,historical_2020_2024
2022-04-15,-0.0153638,0.966532,limit_density_high,historical_2020_2024
2022-04-18,-0.01175431,0.949009,limit_density_high,historical_2020_2024
2022-04-19,0.0024428,0.924749,limit_density_high,historical_2020_2024
2022-04-20,-0.01293919,0.91833,limit_density_high,historical_2020_2024
2022-04-21,-0.00023973,0.913648,limit_density_high,historical_2020_2024
2022-04-22,0.01736929,0.915821,limit_density_high,historical_2020_2024
2022-04-25,0.03773805,0.914012,limit_density_high,historical_2020_2024
2022-04-26,-0.00028373,0.920951,limit_density_high,historical_2020_2024
2022-04-27,0.00489263,0.924795,limit_density_high,historical_2020_2024
2022-04-28,-0.00015579,0.932243,limit_density_high,historical_2020_2024
2022-04-29,-0.00899653,0.937856,limit_density_high,historical_2020_2024
2022-05-05,-0.01895337,0.938853,limit_density_high,historical_2020_2024
2022-05-06,0.01590774,0.938937,limit_density_high,historical_2020_2024
2022-05-09,0.02854169,0.933689,limit_density_high,historical_2020_2024
2022-05-10,0.00151514,0.922276,limit_density_high,historical_2020_2024
2022-05-11,-0.01209268,0.923251,limit_density_high,historical_2020_2024
2022-05-12,-0.01682556,0.932577,limit_density_high,historical_2020_2024
2022-05-13,0.01704243,0.925597,limit_density_high,historical_2020_2024
2022-05-16,-0.00507571,0.921329,limit_density_high,historical_2020_2024
2022-05-17,0.0043163,0.919909,limit_density_high,historical_2020_2024
2022-05-18,0.00229686,0.915549,limit_density_high,historical_2020_2024
2022-05-19,-0.00916132,0.908561,limit_density_high,historical_2020_2024
2022-05-20,-0.00638033,0.909912,limit_density_high,historical_2020_2024
2022-05-23,-0.01399983,0.915738,limit_density_high,historical_2020_2024
2022-05-24,-0.01975178,0.917724,limit_density_high,historical_2020_2024
2022-05-25,0.00456638,0.923632,limit_density_high,historical_2020_2024
2022-05-26,0.01090225,0.927169,limit_density_high,historical_2020_2024
2022-05-27,0.01319409,0.928778,limit_density_high,historical_2020_2024
2022-05-30,-0.009349,0.927043,limit_density_high,historical_2020_2024
2022-05-31,0.00489261,0.917531,limit_density_high,historical_2020_2024
2022-06-01,0.01931445,0.920291,limit_density_high,historical_2020_2024
2022-06-02,0.00291683,0.908762,limit_density_high,historical_2020_2024
2022-06-06,0.00403022,0.903596,limit_density_high,historical_2020_2024
2022-06-07,-0.00927443,0.921075,limit_density_high,historical_2020_2024
2022-06-08,0.01053897,0.942591,limit_density_high,historical_2020_2024
2022-06-09,-0.00748295,0.957445,limit_density_high,historical_2020_2024
2022-06-10,-0.01210783,0.955231,limit_density_high,historical_2020_2024
2022-06-13,-0.00287351,0.973305,limit_density_high,historical_2020_2024
2022-08-03,0.007154,0.973937,limit_density_high,historical_2020_2024
2022-08-04,-0.00052661,0.964326,limit_density_high,historical_2020_2024
2022-08-05,0.0065345,0.954339,limit_density_high,historical_2020_2024
2022-08-08,-0.00968572,0.945195,limit_density_high,historical_2020_2024
2022-08-09,-0.00567235,0.934725,limit_density_high,historical_2020_2024
2022-08-10,-0.01630574,0.926009,limit_density_high,historical_2020_2024
2022-08-11,0.00982478,0.919801,limit_density_high,historical_2020_2024
2022-08-12,-0.00249216,0.914438,limit_density_high,historical_2020_2024
2022-08-15,-0.00146669,0.902163,limit_density_high,historical_2020_2024
2022-08-16,0.0110193,0.897376,limit_density_high,historical_2020_2024
2022-08-17,-0.01922895,0.895357,limit_density_high,historical_2020_2024
2022-08-18,0.00324829,0.899668,limit_density_high,historical_2020_2024
2022-08-19,-0.00099645,0.895243,limit_density_high,historical_2020_2024
2022-08-22,-0.01838899,0.898502,limit_density_high,historical_2020_2024
2022-08-23,-0.01306057,0.904328,limit_density_high,historical_2020_2024
2022-08-24,-0.00260423,0.909093,limit_density_high,historical_2020_2024
2022-08-25,0.00463233,0.919596,limit_density_high,historical_2020_2024
2022-08-26,-0.00744834,0.917185,limit_density_high,historical_2020_2024
2022-08-29,-0.01626648,0.912632,limit_density_high,historical_2020_2024
2022-08-30,-0.00404661,0.909606,limit_density_high,historical_2020_2024
2022-08-31,-0.00846433,0.897019,limit_density_high,historical_2020_2024
2022-09-01,-0.00155912,0.896783,limit_density_high,historical_2020_2024
2022-09-02,0.01498577,0.896407,limit_density_high,historical_2020_2024
2022-09-05,0.01695788,0.889924,limit_density_high,historical_2020_2024
2022-09-06,-0.0025223,0.888329,limit_density_high,historical_2020_2024
2022-09-07,-0.00225863,0.891461,limit_density_high,historical_2020_2024
2022-09-08,-0.00050134,0.897266,limit_density_high,historical_2020_2024
2022-09-09,0.00108936,0.888382,limit_density_high,historical_2020_2024
2022-09-13,-0.029616,0.888169,limit_density_high,historical_2020_2024
2022-09-14,0.01142193,0.886928,limit_density_high,historical_2020_2024
