factor_lane,candidate_count
zls_auction_money_to_offer,1
zls_auction_turnover_to_amount,1
zls_event_direct,30
zls_event_direct_zrank,24
zls_high_board_x_open_board,1
zls_hot_rank_direct,4
zls_hot_rank_inverse,1
zls_hot_rank_x_capacity,1
zls_ladder_to_limit_ratio,1
zls_lb_height_x_open_board,1
zls_limit_up_down_ratio,1
zls_market_up_down_ratio,1
zls_max_seal_to_amount,1
zls_open_board_rate,1
zls_seal_to_amount,1
zls_sentiment_direct,48
zls_sentiment_direct_zrank,38
zls_streak_x_seal,1
